,Geneid,Total_count,zero_counts,one_count,two_counts,more_than_two_counts
3845,OR10A3_12221,0,106,0,0,0
4019,OR7C2_12439,0,106,0,0,0
4086,OR51V1_12516,0,106,0,0,0
4089,OR6C6_12519,0,106,0,0,0
4091,OR10AG1_12521,0,106,0,0,0
4092,OR6C74_12522,0,106,0,0,0
4093,OR6C75_12523,0,106,0,0,0
4094,OR2T3_12524,0,106,0,0,0
4095,OR6C4_12525,0,106,0,0,0
4097,OR6C70_12527,0,106,0,0,0
4144,OR6C2_12586,0,106,0,0,0
4317,OR2V2_12817,0,106,0,0,0
4438,OR4D6_12974,0,106,0,0,0
4444,OR4C6_12982,0,106,0,0,0
4445,OR4D10_12983,0,106,0,0,0
4446,OR4D11_12984,0,106,0,0,0
4447,OR4D2_12985,0,106,0,0,0
4672,OR2T2_13270,0,106,0,0,0
4673,OR2A12_13271,0,106,0,0,0
4674,OR10AD1_13272,0,106,0,0,0
4846,OR4X1_13482,0,106,0,0,0
4847,OR4N5_13483,0,106,0,0,0
4854,OR5AN1_13490,0,106,0,0,0
4925,OR6Y1_13571,0,106,0,0,0
4928,OR6T1_13574,0,106,0,0,0
4930,OR56B1_13576,0,106,0,0,0
4932,OR6C1_13578,0,106,0,0,0
4962,OR1J2_13617,0,106,0,0,0
5037,OR10W1_13717,0,106,0,0,0
5113,OR9K2_13803,0,106,0,0,0
5126,OR6C3_13820,0,106,0,0,0
5289,OR5H6_14019,0,106,0,0,0
5294,OR2T6_14025,0,106,0,0,0
5295,OR4B1_14026,0,106,0,0,0
5476,OR2M2_14255,0,106,0,0,0
5480,OR2F2_14260,0,106,0,0,0
5481,OR2D3_14261,0,106,0,0,0
5503,OR10H4_14287,0,106,0,0,0
5504,OR10J3_14289,0,106,0,0,0
5506,OR10A6_14291,0,106,0,0,0
5507,OR10A2_14292,0,106,0,0,0
5512,OR2B3_14299,0,106,0,0,0
5726,OR8I2_14572,0,106,0,0,0
5943,OR8J1_14844,0,106,0,0,0
5944,OR8K3_14845,0,106,0,0,0
5945,OR8H2_14847,0,106,0,0,0
6026,OR10Q1_14951,0,106,0,0,0
6035,OR10T2_14960,0,106,0,0,0
6332,OR10H3_15335,0,106,0,0,0
6361,OR1A2_15369,0,106,0,0,0
6364,OR1C1_15372,0,106,0,0,0
6469,OR1D5_15496,0,106,0,0,0
6492,OR52K1_15524,0,106,0,0,0
6628,OR7C1_15691,0,106,0,0,0
6767,OR12D3_15852,0,106,0,0,0
6840,OR5C1_15943,0,106,0,0,0
7032,OR5AK2_16180,0,106,0,0,0
7044,OR2C3_16194,0,106,0,0,0
7208,OR10J5_16397,0,106,0,0,0
7364,OR2T35_16584,0,106,0,0,0
7365,OR2T27_16585,0,106,0,0,0
7427,OR5AP2_16663,0,106,0,0,0
7438,OR6X1_16675,0,106,0,0,0
7440,OR2AG1_16679,0,106,0,0,0
7441,OR2A25_16680,0,106,0,0,0
7446,OR13C2_16686,0,106,0,0,0
7447,OR11H6_16687,0,106,0,0,0
7448,OR13F1_16689,0,106,0,0,0
7449,OR13D1_16690,0,106,0,0,0
7486,OR6F1_16737,0,106,0,0,0
7492,OR10A7_16743,0,106,0,0,0
7591,OR7E24_16866,0,106,0,0,0
